homeTeam,awayTeam,homeScore,awayScore
LU,EVE,3,6
WAT,BRE,5,3
LIV,BRE,5,3
BUR,WHU,4,4
BUR,SOU,3,3
MU,LIV,3,5
LIV,NU,5,3
WHU,MCI,0,5
CHE,BHA,5,4
BUR,MU,5,3
MU,NOR,4,2
ARS,WAT,3,5
LIV,WOL,6,5
BHA,ARS,4,5
SOU,MCI,3,3
LU,BUR,6,3
LIV,CHE,12,1
AVL,NOR,5,2
LIV,EVE,5,3
ARS,LIV,3,3
BHA,CRY,3,4
WHU,NU,5,2
TOT,LEI,6,5
WOL,MCI,2,6
AVL,CHE,2,5
BUR,MU,3,6
EVE,LU,4,7
MU,EVE,3,0
WHU,LIV,4,4
TOT,CRY,4,5
WOL,NU,0,3
AVL,LEI,3,5
BUR,MCI,3,6
LU,MU,3,2
SOU,MU,4,7
CHE,LU,5,6
MCI,EVE,5,4
LEI,LU,6,5
LIV,AVL,6,0
ARS,BHA,5,3
BHA,SOU,3,8
WHU,ARS,6,7
BHA,TOT,0,2
LIV,WOL,6,2
TOT,BUR,6,3
MCI,MU,4,2
NU,SOU,4,4
WHU,LIV,3,9
CHE,BUR,8,3
NOR,MU,2,7
LIV,LU,2,2
CHE,CRY,6,2
BUR,MU,5,2
LIV,NU,6,2
AVL,LU,8,3
SOU,MU,3,5
BHA,CHE,1,6
MU,EVE,3,4
BUR,SOU,3,10
LIV,WOL,7,5
WHU,ARS,2,1
CHE,BHA,7,3
LU,TOT,4,3
CRY,NOR,2,5
SOU,MCI,8,4
WHU,ARS,4,3
ARS,NOR,9,6
SOU,WAT,9,3
BRE,ARS,4,5
CRY,TOT,2,6
NOR,BHA,4,3
LIV,WHU,6,1
CRY,BHA,3,0
LIV,CRY,7,1
LU,CHE,5,6
MU,MCI,1,2
ARS,CRY,5,1
MCI,BUR,6,0
LIV,BRE,4,4
AVL,WHU,3,6
MCI,WHU,8,3
MCI,CRY,5,8
MCI,BHA,7,6
WOL,LIV,5,7
CHE,BUR,3,4
LIV,BRE,7,0
WAT,WHU,3,6
WHU,ARS,4,6
NOR,BUR,4,2
BUR,BRE,6,3
ARS,LIV,0,6
AVL,NU,2,5
NU,LEI,3,5
WOL,BUR,5,3
ARS,WHU,3,0
LIV,AVL,7,4
WHU,LU,3,6
BRE,MU,4,5
MU,AVL,4,3
LEI,WOL,5,5
SOU,CHE,6,3
AVL,BRE,5,2
LIV,BRE,0,4
WOL,AVL,6,9
ARS,MU,5,6
LU,TOT,4,5
MCI,WAT,2,6
WAT,LIV,2,7
TOT,MCI,3,4
MU,LU,3,4
WOL,BHA,5,2
ARS,BRE,4,4
MCI,MU,6,4
TOT,LIV,3,2
WOL,WAT,3,3
NU,TOT,8,7
TOT,AVL,3,9
LU,ARS,5,5
SOU,WAT,4,6
MCI,BUR,6,3
NOR,MCI,4,8
ARS,AVL,4,4
AVL,ARS,4,0
LU,AVL,5,1
WAT,TOT,7,4
MU,WAT,5,2
AVL,MCI,4,2
BRE,LU,5,4
BHA,ARS,3,4
EVE,WOL,3,5
CHE,MU,2,6
SOU,AVL,4,4
NOR,BRE,5,4
MU,EVE,6,7
NU,BUR,3,4
MCI,ARS,4,4
WAT,ARS,4,3
BHA,SOU,5,5
WOL,TOT,3,4
CHE,MU,1,4
LEI,LIV,3,7
WHU,NOR,1,2
MU,CRY,5,2
TOT,CHE,4,6
SOU,WOL,0,4
NU,BHA,5,2
LU,EVE,5,3
ARS,AVL,4,4
MU,WHU,5,4
TOT,LEI,5,7
SOU,CRY,4,3
CRY,NU,5,5
NU,CHE,4,5
LU,WOL,3,8
ARS,BHA,6,2
LEI,SOU,4,5
WHU,TOT,3,7
NOR,MU,5,5
MU,MCI,5,1
TOT,BRE,6,3
SOU,LIV,5,3
NU,NOR,6,7
LU,WHU,0,6
ARS,LEI,6,4
NU,BRE,5,2
LIV,BHA,5,2
NOR,WOL,2,7
WHU,CHE,3,8
MCI,LEI,5,1
AVL,BHA,4,2
EVE,MCI,3,3
EVE,AVL,6,3
BHA,WAT,6,4
WOL,BUR,3,2
CHE,ARS,3,7
SOU,CHE,4,4
TOT,CRY,6,6
MU,LEI,5,7
BRE,WHU,4,6
LIV,NOR,3,3
MCI,LIV,3,4
NOR,BRE,6,3
WHU,MU,5,4
LEI,TOT,3,5
CRY,SOU,6,3
CHE,NU,2,6
WOL,LU,1,3
BUR,BHA,4,6
BHA,ARS,0,1
EVE,BUR,5,4
AVL,WAT,4,4
AVL,MCI,4,5
WAT,EVE,7,6
BRE,LIV,4,3
MU,NOR,2,5
TOT,WHU,1,1
SOU,LEI,2,6
NU,CRY,7,5
LU,CHE,4,6
MCI,BRE,2,5
LIV,BRE,4,7
NOR,TOT,5,2
WHU,SOU,3,4
LEI,NU,1,7
CRY,LU,4,6
AVL,BHA,4,2
WAT,WOL,3,3
BUR,CHE,5,4
ARS,CRY,4,2
LU,LEI,5,5
NU,WHU,4,3
BRE,TOT,3,3
MCI,MU,1,4
MU,BRE,3,5
TOT,LIV,4,4
SOU,NOR,4,8
NU,WHU,4,3
CHE,WAT,5,4
CRY,BUR,2,2
LEI,ARS,3,5
WHU,LU,6,7
NOR,NU,3,4
LIV,SOU,5,5
AVL,CHE,4,4
EVE,WOL,4,6
BHA,MCI,6,6
BHA,EVE,4,5
WOL,AVL,3,10
CHE,WAT,5,4
WAT,CRY,1,6
BUR,LEI,5,10
ARS,WHU,4,6
LU,NOR,2,2
NU,LIV,2,5
SOU,BRE,2,7
NOR,ARS,4,4
WHU,BUR,5,2
LEI,WAT,4,4
CRY,AVL,4,6
CHE,EVE,2,5
WOL,BHA,4,5
LIV,LU,4,2
BRE,NU,6,7
MU,SOU,6,3
MCI,TOT,3,7
TOT,MU,4,5
LU,SOU,4,7
BUR,NOR,5,4
SOU,BUR,3,7
ARS,NOR,5,2
BUR,WHU,3,1
LU,LIV,4,5
SOU,LIV,3,1
NOR,MU,5,5
ARS,BHA,6,2
TOT,LEI,5,7
TOT,LEI,4,4
EVE,WHU,7,6
CRY,SOU,5,4
ARS,NU,4,6
CHE,AVL,3,3
NOR,BRE,5,3
BHA,WOL,3,3
LIV,BUR,6,1
MU,WAT,2,7
BUR,WAT,4,4
WOL,LIV,5,5
BRE,BHA,3,3
AVL,NOR,6,1
NU,CHE,2,4
MCI,LU,5,4
LU,MU,7,4
LEI,MCI,4,6
WHU,TOT,7,5
SOU,EVE,4,9
NU,CRY,6,2
AVL,ARS,3,4
BRE,CHE,0,2
WOL,NOR,7,3
BUR,BHA,4,5
WAT,LIV,3,9
MU,LIV,2,8
